date,volume,open,high,low,close
2017/01/04,"24,482,374",183.0,184.0,181.5,183.0
2017/01/05,"21,373,561",182.0,183.5,181.5,183.5
2017/01/06,"23,120,808",184.0,184.5,183.5,184.0
2017/01/09,"18,583,788",184.0,185.0,183.0,184.0
2017/01/10,"20,691,305",184.5,185.5,183.5,184.0
2017/01/11,"29,747,168",185.0,185.0,181.5,182.0
2017/01/12,"48,599,502",182.5,185.5,182.5,184.5
2017/01/13,"53,089,358",180.5,182.5,180.5,181.5
2017/01/16,"30,878,049",180.0,180.5,179.0,179.5
2017/01/17,"13,207,419",180.5,181.0,179.5,181.0
2017/01/18,"23,810,637",180.5,181.0,179.5,181.0
2017/01/19,"25,935,613",179.5,181.0,179.5,180.5
2017/01/20,"42,317,086",181.0,181.5,180.5,181.0
2017/01/23,"58,299,156",182.5,185.0,182.5,185.0
2017/01/24,"72,014,239",185.0,186.5,184.5,185.5
2017/02/03,"30,387,652",186.0,186.0,183.5,184.5
2017/02/06,"29,702,832",184.5,185.5,184.0,184.5
2017/02/07,"23,981,988",183.5,185.0,183.0,184.5
2017/02/08,"45,607,272",183.5,184.5,183.0,183.5
2017/02/09,"23,419,788",184.0,185.5,183.5,184.0
2017/02/10,"49,257,380",184.5,185.5,184.0,185.5
2017/02/13,"26,155,819",186.5,188.0,186.5,187.5
2017/02/14,"46,716,940",189.0,190.0,187.5,187.5
2017/02/15,"39,928,274",187.0,189.5,186.5,189.0
2017/02/16,"28,371,087",190.0,190.5,188.0,189.0
2017/02/17,"20,407,880",190.0,190.5,189.0,189.5
2017/02/18,"3,517,102",190.0,190.5,189.5,189.5
2017/02/20,"13,280,401",190.0,190.5,189.5,190.0
2017/02/21,"31,987,532",190.0,190.0,188.5,190.0
2017/02/22,"26,144,905",190.5,191.0,188.5,188.5
2017/02/23,"36,095,621",188.0,189.5,187.0,188.5
2017/02/24,"26,177,021",187.5,190.5,187.5,189.0
2017/03/02,"40,879,671",188.0,188.5,185.0,186.0
2017/03/03,"28,213,610",184.5,185.0,184.0,184.0
2017/03/06,"12,633,329",184.0,184.5,183.5,183.5
2017/03/07,"22,816,387",184.0,185.5,184.0,185.5
2017/03/08,"38,657,077",186.0,188.0,185.5,187.0
2017/03/09,"31,119,469",185.5,186.0,184.0,184.5
2017/03/10,"24,886,297",184.0,184.5,183.0,183.5
2017/03/13,"11,025,355",185.0,186.5,185.0,186.5
2017/03/14,"24,373,221",188.0,188.0,186.0,186.0
2017/03/15,"14,147,168",185.5,187.0,185.5,186.5
2017/03/16,"32,452,964",188.0,190.0,188.0,190.0
2017/03/17,"38,698,064",189.5,191.5,189.0,191.5
2017/03/20,"16,531,620",191.5,191.5,189.5,191.5
2017/03/21,"33,662,234",192.0,195.0,191.5,195.0
2017/03/22,"27,766,559",192.5,193.5,191.5,193.5
2017/03/23,"18,831,295",192.0,193.5,192.0,193.5
2017/03/24,"17,722,202",192.0,193.0,192.0,192.5
2017/03/27,"29,867,998",194.5,194.5,192.0,193.0
2017/03/28,"39,522,318",195.0,195.0,192.5,194.5
2017/03/29,"33,839,400",194.5,194.5,191.0,191.5
2017/03/30,"30,716,971",192.5,193.0,190.5,191.5
2017/03/31,"33,996,900",191.0,192.0,189.0,189.0
2017/04/06,"17,417,037",193.0,193.0,191.0,191.5
2017/04/07,"19,066,095",192.0,192.0,188.5,191.0
2017/04/10,"17,388,929",191.0,191.5,189.5,190.0
2017/04/11,"9,788,922",190.0,191.0,189.0,191.0
2017/04/12,"17,418,048",190.5,191.5,190.0,191.0
2017/04/13,"14,796,174",189.5,192.0,189.5,191.5
2017/04/14,"31,317,585",189.5,189.5,188.0,189.0
2017/04/17,"17,111,522",189.0,189.0,187.5,187.5
2017/04/18,"28,732,770",188.0,189.5,187.5,188.0
2017/04/19,"31,171,199",187.5,187.5,186.5,186.5
2017/04/20,"32,697,485",186.5,188.0,186.5,187.0
2017/04/21,"19,034,232",187.5,190.0,187.5,190.0
2017/04/24,"29,572,675",191.0,191.5,188.5,190.0
2017/04/25,"31,952,889",190.5,192.0,189.5,192.0
2017/04/26,"31,119,972",192.0,192.0,190.5,191.0
2017/04/27,"35,812,934",192.0,193.0,190.5,193.0
2017/04/28,"38,381,021",193.5,194.5,193.0,194.5
2017/05/03,"27,240,962",198.0,198.5,197.0,198.0
2017/05/04,"22,194,084",198.5,199.0,197.0,198.0
2017/05/05,"17,618,358",197.0,198.5,197.0,197.5
2017/05/08,"39,591,009",199.0,202.5,199.0,202.5
2017/05/09,"48,285,324",205.5,207.0,203.5,203.5
2017/05/10,"31,075,759",204.0,206.0,204.0,205.5
2017/05/11,"44,286,097",204.5,208.5,204.0,207.5
2017/05/12,"25,507,045",205.0,207.0,205.0,206.0
2017/05/15,"25,922,334",204.0,206.0,204.0,206.0
2017/05/16,"36,604,672",205.0,205.0,203.5,204.5
2017/05/17,"22,606,380",203.0,204.0,203.0,204.0
2017/05/18,"22,490,217",202.5,204.0,201.5,203.5
2017/05/19,"17,163,108",203.5,204.5,202.5,203.0
2017/05/22,"17,419,705",203.5,205.0,203.0,205.0
2017/05/23,"23,028,298",205.0,207.0,204.5,205.0
2017/05/24,"18,307,715",205.0,206.0,205.0,205.5
2017/05/25,"26,088,748",206.0,207.0,205.5,207.0
2017/05/26,"32,976,727",205.0,207.0,205.0,207.0
2017/05/31,"67,935,145",206.5,207.0,203.0,203.0
2017/06/02,"23,265,323",208.5,209.0,207.5,209.0
2017/06/03,"1,535,230",209.0,209.0,208.0,209.0
2017/06/05,"22,545,164",209.5,212.0,209.0,212.0
2017/06/06,"15,382,025",210.5,211.5,210.5,210.5
2017/06/07,"34,729,326",212.0,212.5,210.0,211.5
2017/06/08,"21,654,488",212.0,213.0,211.5,213.0
2017/06/09,"35,190,159",214.5,215.0,212.0,212.0
2017/06/12,"63,111,746",207.0,210.0,207.0,207.5
2017/06/13,"49,983,303",207.0,208.5,206.5,208.0
2017/06/14,"39,083,899",208.5,209.5,206.0,207.0
2017/06/15,"19,486,457",207.5,208.0,207.0,208.0
2017/06/16,"32,856,536",207.5,212.0,207.0,211.5
2017/06/19,"17,489,571",211.0,213.0,210.5,213.0
2017/06/20,"28,784,100",215.0,218.0,214.5,216.5
2017/06/21,"45,384,482",216.0,217.0,214.5,215.5
2017/06/22,"26,094,649",217.0,218.0,216.5,218.0
